"post","tag"
"Ist das Wetter gut heute?","SUN"
"Wird es warm werden?","WARM"
"Ist Schneefall zu erwarten?","SNOW"
"Wie wird das Wetter sein","WEATHER"
"Welches Wetter ist zu erwarten","WEATHER"
"Sag mir  wie das Wetter wird","WEATHER"
"Was sagt die Wettervorhersage","WEATHER"
"Wie wird das Wetter morgen um 16:00 sein?","WEATHER"
"Wie sieht der Wetterbericht aus für morgen","WEATHER"
"Mit welchem Wetter kann ich am Dienstag rechnen","WEATHER"
"Sag mir wie das Wetter nächste Woche wird!","WEATHER"
"Kannst du mir bitte sagen  wie das Wetter um 6 Uhr wird?","WEATHER"
"Bitte sag mir  wie das Wetter morgen Abend wird?","WEATHER"
"Hey Assistant  kannst du mir bitte sagen  mit welchem Wetter ich rechnen kann um 8 uhr morgens","WEATHER"
"Mit welchem Wetter ist am Dienstag zu rechnen in Kalkutta?","WEATHER"
"Assistant  bitte gib mir den Wetterbericht für heute für Peking?","WEATHER"
"Mit welchem Wetter kann ich in 2 Tagen rechnen in Kairo?","WEATHER"
"Hey Assistant  wie wird das Wetter diese Woche in Berlin","WEATHER"
"Mit welchem Wetter kann man am Samstag morgen rechnen in Delhi?","WEATHER"
"Wie wird in Lahore das Wetter sein um 14:00","WEATHER"
"Mit welchem Wetter ist morgen um 3 Uhr in Los Angeles zu rechnen?","WEATHER"
"Wie wird das Wetter übermorgen in Lagos","WEATHER"
"Wie sieht der Wetterbericht für heute aus? Ich bin in Mumbai.","WEATHER"
"Wie wird das Wetter in einer Woche sein in Moskau?","WEATHER"
"Könntest du mir bitte sagen wie das Wetter in 7 Tagen ist in Tokio!","WEATHER"
"Wie sieht der Wetterbericht für Frankfurt aus?","WEATHER"
"Welches Wetter wird vorhergesagt für New York morgen Abend?","WEATHER"
"Wie wird das Wetter am Donnerstag Abend in Regensburg?","WEATHER"
"Wie wird das Wetter am morgigen Tag um 16:00?","WEATHER"
"Ich bin morgen in Rottenburg und frage mich  wie das Wetter sein wird.","WEATHER"
"Hey  sag mir bitte wie das Wetter am Donnerstag sein wird. Ich bin in Göteborg.","WEATHER"
"Wird es in Erlangen morgen gutes Wetter geben?","SUN"
"Sag mir bitte  wie das Wetter morgen wird!","WEATHER"
"Wie wird das Wetter in den nächsten 5 Tagen?","WEATHER"
"Wie ist das Wetter in London?","WEATHER"
"Kannst du mir sagen  wie das Wetter auf dem Wendelstein ist?","WEATHER"
"Wie ist das wetter in Texas","WEATHER"
"Hallo  kann ich in Pentling mit gutem Wetter rechnen?","SUN"
"Ich bin morgen um 7 Uhr in Hamburg. Wie wird das Wetter dort?","WEATHER"
"wie ist das Wetter gerade","WEATHER"
"Wie ist das Wetter in Regenstauf","WEATHER"
"Wird es regenen","RAIN"
"Brauche ich einen Regenschirm","RAIN"
"Muss ich mit Regen rechnen in Nagoya","RAIN"
"Ist mit Regen zu rechnen in Wuhan um 3 Uhr?","RAIN"
"Sollte ich mit Regen rechnen morgen mittag in Taipei","RAIN"
"Wird Regen vom Himmel Fallen um 16 uhr in Hanoi","RAIN"
"Kannst du mir bitte sagen  ob es regnen wird","RAIN"
"Bitte sag mir  ob übermorgen mit Regnen zu rechnen ist in Nagoya","RAIN"
"Bitte sag mir ob es in 4 Tagen regnen wird in Onitsha","RAIN"
"Muss ich einen Regenschirm einpacken morgen in Paris?","RAIN"
"Muss in Lima morgen mit Regen gerechnet werden?","RAIN"
"Ist es regnerisch","RAIN"
"Benötige ich in London einen Regenschirm heute Abend","RAIN"
"Kann mit regnerischen Tagen gerechnet werden in Köln?","RAIN"
"Hey Assistant  bitte sag mir  ob Regen kommen wird um 14 Uhr in Chennai!","RAIN"
"Kann in Madrid mit Regen gerechnet werden Heute mittag?","RAIN"
"Sollte ich einen Regenschirm einpacken in 3 Tagen? Ich befinde mich in Zhengzhou!","RAIN"
"Muss ich mir Sorgen machen um Regen? Ich befinde mich gerade in Frankfurt.","RAIN"
"Assistant  bitte sag mir ob für morgen Abend regen gemeldet ist. Ich bin in Salzburg.","RAIN"
"Bitte sage  ob morgen regen kommt","RAIN"
"Ist morgen Regen zu erwarten? Ich bin in Riad!","RAIN"
"Wird es in Rom regnen in dieser Woche?","RAIN"
"Wird es in Minsk regnen in 4 Stunden?","RAIN"
"Wird es Niederschlag geben in London  übermorgen?","RAIN"
"Kannst du mir bitte sagen  ob es gerade regnet","RAIN"
"Kannst du mir bitte sagen  ob es morgen um 16 Uhr regnen wird?","RAIN"
"Wird es in Ulm regnerisch werden gegen 14 Uhr?","RAIN"
"Wird es regnerisch werden in Hamburg gegen 3 Uhr?","RAIN"
"Wird das Wetter morgen regnerisch?","RAIN"
"Kommt morgen Regen?","RAIN"
"Kannst du mir bitte sagen  ob mit regnerischem Wetter zu rechnen ist am Donnerstag","RAIN"
"Regnet es in Frankfurt?","RAIN"
"Regnet es morgen in Regensburg?","RAIN"
"Regnet es nächstes Wochenende in Erlangen?","RAIN"
"Wird es regnerisches Wetter in Berlin geben?","RAIN"
"Sag mir bitte ob ich morgen in Bonn mit Niederschlag rechnen sollte um 7 Uhr","RAIN"
"regnet es in Köln","RAIN"
"Gibt es Niederschlag in Pentling","RAIN"
"Scheint die Sonne?","SUN"
"Ist Sonnenschein vorhergesagt?","SUN"
"Wird es morgen heiß?", "WARM"
"Regnet es noch?", "RAIN"
"Regnet es morgen?", "RAIN"
"Regnet es heute in Regensburg", "RAIN"
"Scheint dann morgen die Sonne?", "SUN"
"Wann gibt es dann wieder Sonne?", "SUN"
"Wie ist die Wetterprognose für kommendes Wochenende in Berchtesgaden?", "WEATHER"
"Bitte sag mir, mit welcher Maximaltemperatur in Köln zu rechnen ist am nächsten Sonntag!", "MAX_TEMPERATURE"
"Wie wird das Wetter morgen in Übersee?", "WEATHER"
"Bitte sag mir  ob morgen in Köln die Sonne scheint!","SUN"
"Soll ich morgen um 3 Uhr mit Sonne rechnen in Amsterdam?","SUN"
"Ist Sonnenschein vorhergesagt morgen Abend für Dortmund?","SUN"
"Ist am 4.3.2020 mit Sonne zu rechnen in Bergen?","SUN"
"Kann ich morgen Abend mit Sonnenschein rechnen  ich bin gerade in LA.","SUN"
"Scheint die Sonne gerade in Gladbach?","SUN"
"Kann ich eine Sonnenbrille tragen morgen in Trier?","SUN"
"Ist es Sonnig draußen in Mumbai um 18:30?","SUN"
"Ist die Sonne draußen in Sao Paulo?","SUN"
"Ist es sonnig in Lagos in 4 Stunden?","SUN"
"Sind sonnige Tage vorhergesagt laut des Wetterdienstes am 17.02.2020?","SUN"
"Ich bin in 4 Tagen in Lagos und frage mich  ob es dort Sonnenschein geben wird.","SUN"
"Hallo Assistent  bitte sag mir  ob es in Chengdu sonnig ist.","SUN"
"Brauche ich einen Sonnenschutz in Kairo morgen Mittag?","SUN"
"Assistant wird es in 12 Stunden sonniges Wetter geben in Moskau?","SUN"
"Scheint gerade die Sonne in Paris?","SUN"
"Hi Assistant  bitte sag mir  ob es sonnig ist in 4 Tagen.","SUN"
"Könntest du mir bitte sagen  ob die Sonne seint am Sonntag?","SUN"
"Bitte sag mir  ob es sonnig ist in Bangkok in der Früh.","SUN"
"Hey Assistant sag mir bitte  ob die Sonne draußen scheint","SUN"
"Ist es sonnig in Istanbul um 4 Uhr morgens?","SUN"
"Wird es sonnig sein in Prag am Freitag?","SUN"
"Könnten sie mir bitte sagen  ob in 3 Tagen die Sonne scheint in Amsterdam?","SUN"
"Hey  es wäre toll  wenn du sagen könntest  ob die Sonne morgen draußen ist","SUN"
"Wird die Sonne scheinen in Nürnberg morgen Abend?","SUN"
"Wird die Sonne scheinen am 5. Juni 2020?","SUN"
"Wird das Wetter morgen sonnig?","SUN"
"Bitte sag mir  ob in Magdeburg das Wetter sonnig wird!","SUN"
"Wird für Samstg um 16 Uhr sonniges Wetter vorhergesagt?","SUN"
"Kommt heute noch die Sonne raus?","SUN"
"Wann gibt es in Regensburg wieder Sonne?","SUN"
"Scheint in Zürich um 18 Uhr die Sonne?","SUN"
"Wird es sonniges Wetter in Ulm geben?","SUN"
"Hallo Assistant  sollten wir hier mit sonnigem Wetter rechnen?","SUN"
"scheint gerade die Sonne in Montana","SUN"
"Ist es sonnig in Nürnberg?","SUN"
"Ist mit Wind zu rechnen?","WIND"
"Kann ich mit Wind rechnen?","WIND"
"Wird es in Kiew Wind geben?","WIND"
"Wird es windig sein in Turin?","WIND"
"Was sagt der Wetterbericht zu Wind in Bremen in 4 Tagen?","WIND"
"In welche Richtung weht der wind in Saarbrücken um 17 Uhr?","WIND"
"Sollte mit Wind gerechnet werden in 3 Stunden?","WIND"
"Wird Wind kommen in Neuss","WIND"
"Ist es windig  Assistant?","WIND"
"Kannst du mir sagen  ob es in 3 Stundne windig sein wird?","WIND"
"Sollte ich vorbereitet sein für Wind?","WIND"
"Muss ich mit einem heftigen Sturm rechnen?","WIND"
"Sag mir ob der Wind bläst in 4 Stunden in Neapel!","WIND"
"Könntest du mir bitte sagen  ob es windig ist in Shenzhen um 17:00?","WIND"
"Hey Assistant  bitte sag mir ob es in Bangok windig ist.","WIND"
"Sag mir ob der Wind weht in New York in 7 Tagen.","WIND"
"Kommt morgen um 17:00 Wind?","WIND"
"Ist in Regensburg mit Wind zu rechnen morgen Abend?","WIND"
"Hi Assitant  ist es windig in Hanoi um 17:00?","WIND"
"Bitte sag mir  ob mit Wind zu rechnen ist in Chennai","WIND"
"Weht der Wind in Osnabrück am 17.03.2020","WIND"
"Hey Assistant ist Wind vorhergesagt?","WIND"
"Hey Assistant ist winiges Wetter vorhergesagt?","WIND"
"Hey Assistant wird es um 6 Uhr Abends Wetter geben mit Wind?","WIND"
"Ist in Lima mit Wind zu rechnen in 3 Tagen?","WIND"
"Wird morgen der Wind wehen in Ludwigshafen um 16 Uhr?","WIND"
"Wird in Zürich ein windiges Wetter erwartet?","WIND"
" Sag mir bitte  ob es abends windig wird in Erlangen","WIND"
"Kann ich in Hanover mit windigem Wetter rechnen?","WIND"
"Sag mir bitte  ob das Wetter am Montag windig wird!","WIND"
"Wird es windiges Wetter geben?","WIND"
"Wie stark geht der Wind in Hamburg?","WIND"
"Ist es windig in Allersberg?","WIND"
"Wie windig ist es gerade denn in Bern?","WIND"
"wie windig ist es gerade in Venedig","WIND"
"Wie windig ist es übermorgen in Göttingen?","WIND"
"windiges Wetter vorhergesagt?","WIND"
"Ist es windig in Pettendorf?","WIND"
"Wird Sturm vorhergesagt","THUNDER"
"Bitte sag mir  ob Sturm kommt!","THUNDER"
"Ist in Paris mit Sturm zu rechnen?","THUNDER"
"Wird es Donner und Blitze geben in Neapel?","THUNDER"
"Kann ich am Sonntag mit Blitz und Donner rechnen in Göteborg?","THUNDER"
"Ist es heute Mittag stürmisch in Kiel?","THUNDER"
"Sollte ich mit Sturm rechnen?","THUNDER"
"Wird es in 4 Tagen stürmisch sein?","THUNDER"
"Ist mit Sturm zu rechnen in Budapest um 17 Uhr?","THUNDER"
"Wird es stürmisches Wetter geben in 4 Tagen in Hanau?","THUNDER"
"Ist in Budabest mit einem Sturm zu rechnen?","THUNDER"
"Bitte sag mir  ob es am 17.03.2020 einen Sturm geben wird in Chicago.","THUNDER"
"Ist ein Gewitter zu erwarten in Bergen um 12:00?","THUNDER"
"Hey Assistant  wird es Übermorgen gewittern in Hanoi?","THUNDER"
"Hey Assistant  bitte sag mir  ob es ein Gewitter mit Blitzen geben wird.","THUNDER"
"Sag mir bitte  ob abends ein Sturm zu erwarten ist in Würzburg.","THUNDER"
"Assistant  wird es einen Sturm geben in 3 Tagen in Hamburg?","THUNDER"
"Wird es ein Gewitter geben am Montag? ","THUNDER"
"Sollte ich mit Blitzen rechnen in 4 Tagen  Assistant?","THUNDER"
"Hi Assistant  sag mir doch bitte  ob es stürmisch wird in den nächsten 3 Tagen.","THUNDER"
"Ist stürmisches Wetter in der Vorhersage?","THUNDER"
"Hey Assistant  wird das Wetter stürmisch in Columbus?","THUNDER"
"Wie sieht es aus mit Sturm?","THUNDER"
"Sollte man sich auf Sturm vorbereiten in Baltimore in dieser Woche?","THUNDER"
"Ist es stürmisch in Flensburg um 16:00?","THUNDER"
"Wird es in Karlsruhe morgen stürmisch werden gegen 16 Uhr?","THUNDER"
"Sag mir bitte  ob es stürmisch werden wird in Rottenburg","THUNDER"
"Ist es in Dortmund stürmisch um 17 Uhr?","THUNDER"
"Sag mir  ob das Wetter stürmisch wird in 4 Stunden?","THUNDER"
"Wird das Wetter nächste Woche am Sonntag stürmisch?","THUNDER"
"Kommt stürmisches Wetter in Rottenburg um 17 Uhr?","THUNDER"
"Wie stürmisch ist es gerade in Ulm?","THUNDER"
"Kannst du mir bitte sagen  ob es Sturm gibt in Hannover?","THUNDER"
"Wie stürmisch ist es gerade?","THUNDER"
"ist es gerade stürmisch in Leogang","THUNDER"
"Kommt ein Gewitter in Frankfurt","THUNDER"
"Muss ich mir um 18 Uhr in Massachusetts Sorgen um Blitze machen?","THUNDER"
"Wie sieht es aus mit Stum in Bad Abbach?","THUNDER"
"Wie ist der Luftdruck","AIR_PRESSURE"
"Kannst du mir sagen  wie der Luftdruck ist","AIR_PRESSURE"
"Bitte sag mir  wie der Luftdruck in Rom ist!","AIR_PRESSURE"
"Wie ist der Luftdruck in Krasnodar","AIR_PRESSURE"
"Wie ist der Luftdruck in Dublin diese Woche?","AIR_PRESSURE"
"Welcher Luftdruck wird vorhergesagt für Lyon um 13:00?","AIR_PRESSURE"
"Kannst du mir bitte sagen  welcher Luftdruck für Donnerstag vorhergesagt wird? Ich bin in Berlin!","AIR_PRESSURE"
"Kannst du mir bitte sagen  ob Morgen Regen kommen wird in Wuppertal?","AIR_PRESSURE"
"Wie wird am 14.03.2020 der Luftdruck in Zagreb sein?","AIR_PRESSURE"
"Welcher Luftdruck ist zu erwarten?","AIR_PRESSURE"
"Wie ist der Luftdruck in Prag um 17:30?","AIR_PRESSURE"
"Bitte sag mir welcher Luftdruck in 5 Stunden in Hannover sein wird!","AIR_PRESSURE"
"Wie ist gerade der Luftdruck in Toronto?","AIR_PRESSURE"
"Welcher Luftdruck kann erwartet werden in Madrid?","AIR_PRESSURE"
"Bitte sag mir  wie der Luftdruck ist in Houstan in 3 Tagen!","AIR_PRESSURE"
"Kannst du mir bitte sagen  wie in 7 Stunden der Luftdruck in Riad ist?","AIR_PRESSURE"
"Assistant  wie ist in Surat der Luftdruck am Donnerstag.","AIR_PRESSURE"
"Wie ist am Dienstag der Luftdruck in Bern?","AIR_PRESSURE"
"Hi Assistant  bitte sag mir  wie der Luftdruck in Quanzhou ist!","AIR_PRESSURE"
"Welcher Luftdruck um 18 Uhr ist in Santiago.","AIR_PRESSURE"
"Weißt du  wie der Luftdruck für Luanda vorhergesagt wird für morgen um 17 Uhr?","AIR_PRESSURE"
"Hey Assistant  wie ist der Luftdruck morgen Mittag in Kuala Lumpur?","AIR_PRESSURE"
"Welcher Luftdruck wird für den 17.08.2020 vorhergesagt für Boston?","AIR_PRESSURE"
"Wie wird der Luftdruck sein?","AIR_PRESSURE"
"Welcher Luftdruck ist zu erwarten in 4 Stunden?","AIR_PRESSURE"
"Wie wird in Pitsburg der Luftdruck sein am nächsten Donnerstag?","AIR_PRESSURE"
"Wie ist der Luftdruck hier in Bern gegen 21 Uhr?","AIR_PRESSURE"
"Wie wird in 4 Stunden der Luftdruck in Amsterdam sein?","AIR_PRESSURE"
"Kannst du mir bitte sagen  wie der Luftdruck in Ludwigshafen in 3 Tagen sein wird?","AIR_PRESSURE"
"Bitte sag mir  wie der Luftdruck in Ulm ist morgen?","AIR_PRESSURE"
"Sag mit bitte  wie der Luftdruck ist in Prag","AIR_PRESSURE"
"Assistant  sag mir doch bitte  wie der Luftdruck ist in Trontheim.","AIR_PRESSURE"
"Wie ist denn gerade der Luftdruck in Göteborg?","AIR_PRESSURE"
"Ich bin in Saarbrücken  wie ist hier morgen der Luftdruck? ","AIR_PRESSURE"
"Welcher Luftdruck ist hier zu erwarten in Trondheim?","AIR_PRESSURE"
"Mit welchem Luftdruck ist in Essen am Donnerstag zu rechnen?","AIR_PRESSURE"
"Sag mir mal bitte  wie der Luftdruck sein wird in Würzburg morgen","AIR_PRESSURE"
"Wie wird der Luftdruck sein in Pielenhofen?","AIR_PRESSURE"
"Wie wird die Temperatur sein?","TEMPERATURE"
"Wie viel Grad Celsius ist es?","TEMPERATURE"
"Sag mir  wie viel Grad ist es in Minsk","TEMPERATURE"
"Welche Temperatur wird vorhergesagt?","TEMPERATURE"
"Wie viel Grad wird es in Orenburg morgen Abend?","TEMPERATURE"
"Wie wird in einer Woche die Temperatur in Lyon sein?","TEMPERATURE"
"Wie viel Grad ist es gerade in Paderborn?","TEMPERATURE"
"Bitte sag mir wie viel Grad es in 4 Stunden sein wird!","TEMPERATURE"
"Mit welchen Temperaturen kann ich rechnen auf Gozo in 3 Tagen um 17:00?","TEMPERATURE"
"Bitte sag mir  wie viel Grad es ist in Wuhan!","TEMPERATURE"
"Wie viel Grad wird es in Santiago sein um 17:00?","TEMPERATURE"
"Wie ist die Temperatur auf Malta in 4 Tagen?","TEMPERATURE"
"Kannst du mir sagen  wie die Temperatur in Regensburg sein wird in 3 Stunden?","TEMPERATURE"
"Wie viel Grad Celsius wird es in Berlin sein?","TEMPERATURE"
"Hey Assistant wie ist die Temperatur in Lagos um 4 Uhr morgens am Dienstag?","TEMPERATURE"
"Wie ist die Temperatur in London in 3 Tagen?","TEMPERATURE"
"Welche Temperatur haben wir in Bangalore um 17 Uhr?","TEMPERATURE"
"Wie viel Grad ist es gerade in Paris?","TEMPERATURE"
"Hi Assistant  bitte sag mir wie viel Grad ist es in Nagoya?","TEMPERATURE"
"Ich muss wissen  wie viel Grad es in Luanda ist.","TEMPERATURE"
"Hey Assistant  wie viel Grad ist es in Riad?","TEMPERATURE"
"Hallo  wie ist die Temperatur in sieben Tagen in Washington?","TEMPERATURE"
"Wie ist die Temperatur in Wuhan am Dienstag  morgens.","TEMPERATURE"
"Wie wird die Temperatur morgen um 17:00 in Paris sein?","TEMPERATURE"
"Welche Temperatur ist auf dem Thermometer für Leipzig.","TEMPERATURE"
"Welche Temperaturen kann ich morgen erwarten. Ich bin in Berlin.","TEMPERATURE"
"Kannst du mir mal bitte sagen  mit welchen Temperaturen gerechnet werden muss  morgen?","TEMPERATURE"
"Mit welcher Temperatur ist zu rechnen in Zagreb?","TEMPERATURE"
"Wie viel Grad ist es gerade in Mannheim?","TEMPERATURE"
"Welche Temperatur ist gerade in Zürich?","TEMPERATURE"
"Welche Temperatur wird es in Prag geben am nächsten Montag?","TEMPERATURE"
"Wie viel Grad ist es morgen um 17 Uhr in Budapest?","TEMPERATURE"
"Wie ist denn die Temperatur hier?","TEMPERATURE"
"Wie viel Grad wird es in Düsseldorf geben?","TEMPERATURE"
"Wie ist die Temperatur gerade?","TEMPERATURE"
"Wie viel Grad sind es gerade in New York?","TEMPERATURE"
"Wie viel Grad hat es in Pilsen","TEMPERATURE"
"Sag mir bitte  wie viel Grad es geben wird in Ingolstadt gegen 18 Uhr","TEMPERATURE"
"Ist es kalt?","COLD"
"Wird es kalt sein?","COLD"
"Bitte sag mir  ob es Kalt wird in Istanbul!","COLD"
"Kannst du mir bitte sagen  ob ich eine warme Jacke brauche in Wien?","COLD"
"Ist es am Sonntag um 15 Uhr kalt in Pensa?","COLD"
"Ist es in 4 Tagen kalt in Homel?","COLD"
"Ist es kalt in Neuss?","COLD"
"Ist es am 16.05.2020 kalt in Augsburg?","COLD"
"Wird es sehr kalt werden morgen um 18:30","COLD"
"Brauche ich eine warme Jacke?","COLD"
"Ist es Eiskalt in Oslo?","COLD"
"Wie sieht es aus mit niedrigen Temperaturen in Berlin?","COLD"
"Ist es kalt in Bonn um 17:30?","COLD"
"Wird es am Samstag kalt sein in München?","COLD"
"Ist in Paris um 17:00 am Donnerstag mit kaltem Wetter zu rechnen?","COLD"
"Wird das Wetter in 2 Stunden kalt sein?","COLD"
"Ist das Wetter kalt in Luanda?","COLD"
"Bitte sag mir ob es kalte Temperaturen geben wird in Seoul in 4 Stunden.","COLD"
"Wird es sehr kalt sein in Bergen?","COLD"
"Hey Assistant  muss ich mit kalten Temperaturen rechnen?","COLD"
"Brauche ich eine warme Jacke in Salzburg?","COLD"
"Hey Assistant  sag mir doch bitte ob ich eine warme Jacke benötige in Aachen!","COLD"
"Hallo  könntest du mir bitte sagen  ob es kalt sein wird in Dortmund.","COLD"
"Wird das Wetter kalt sein in Shenzhen am Dienstag?","COLD"
"Gibt es kalte Temperaturen in Turin?","COLD"
"Wird es in Flensburg morgen kalt sein?","COLD"
"Wird es in Cottbus kalt werden?","COLD"
"Wie kalt ist es in Berlin?","COLD"
"Ist das Wetter übermorgen kalt in Karlsruhe?","COLD"
"Hey Assistant  bitte sag mir  ob das Wetter kalt ist in Limburg heute Morgen.","COLD"
"Wird es kalte Temperaturen geben in Madrid?","COLD"
"Ist es am Samstag kalt in Frankfurt?","COLD"
"Wird die Temperatur kalt sein übermorgen?","COLD"
"Hallo  sag mir doch bitte wie kalt es in 4 Tagen sein wird!","COLD"
"Ist es gerade kalt?","COLD"
"hey  bitte sag mir wie kalt es ist in Buenos Aires","COLD"
"wie kalt ist es gerade","COLD"
"Werde ich eine Jacke benötigen in Bergamo?","COLD"
"Ist es warm?","WARM"
"Bitte sag mir  ob es warm sein wird!","WARM"
"Wird es heiß werden in Bukarest?","WARM"
"Wird es in Krakau warm sein?","WARM"
"Ist es am Samstag warm in Lyon?","WARM"
"Wird es warm sein in Zweibrücken am Sonntag?","WARM"
"Should I expect warm and hot temperatures","WARM"
