"Brauche ich eine warme Jacke?";"COLD"
"Brauche ich einen Regenschirm";"RAIN"
"Sag mir bitte, ob in Kitzbühl mit Nebel zu rechnen ist!";"FOG"
"Wird es windig werden?";"WIND"
"Wird es sonnig sein?";"SUN"
"Wie wird das Wetter morgen?";"WEATHER"
"Hallo, ist es morgen neblig?";"FOG"
"Wie ist denn bitte gerade der Luftdruck hier in Aachen";"AIR_PRESSURE"
"In welche Richtung weht gerade der Wind?";"WIND_DIRECTION"
"Ist es am Montag regnerisch in Sydney?";"RAIN"
"Wie wird das Wetter werden hier in London?";"WEATHER"
"Wie warm wird es in Zypern?";"WARM"
"Wie viel Schneefall wird es geben?";"SNOW"
"Ist das Wetter gut heute?";"WEATHER"
"Wird es warm werden?";"WARM"
"Ist Schneefall zu erwarten?";"SNOW"
